PREGUNTA,RESPUESTA,FECHA
existe algún articulo que hable acerca de este tema?,"Sí, el reglamento interno incluye varios artículos que abordan diferentes temas relacionados con la higiene y seguridad, así como las obligaciones y prohibiciones para los trabajadores. Por ejemplo, el Artículo 67 de la Ley N° 16.744 menciona que ""Las empresas o entidades estarán obligadas a mantener al día los reglamentos internos de higiene y seguridad en el trabajo y los trabajadores(as) a cumplir con las exigencias de dichos reglamentos les impongan.""

Te recomiendo revisar el reglamento RIOHS para obtener información más detallada sobre el tema específico que te interesa. ¿Te queda alguna duda?",2025-01-03 15:16:13
Hola,"¡Hola! ¿En qué puedo ayudarte hoy? Si tienes alguna pregunta sobre el reglamento interno, estaré encantado de responderte. Te recomiendo revisar el reglamento RIOHS para obtener información detallada. ¿Te queda alguna duda?",2025-01-03 15:16:26
quisiera saber acerca del acoso laboral,"El acoso laboral se aborda en el Reglamento Interno de Orden, Higiene y Seguridad, que establece que la Empresa está comprometida en proporcionar un ambiente de trabajo seguro, inclusivo y respetuoso para todos los trabajadores. Se reconoce la importancia crítica de abordar eficazmente cualquier forma de acoso laboral, siendo esencial que todos quienes laboren en la Empresa se sientan apoyados y seguros al reportar estas conductas inapropiadas.

El procedimiento de denuncia está diseñado para asegurar que todas las denuncias sean manejadas con seriedad, confidencialidad y profesionalismo, con el objetivo de resolver los problemas de manera efectiva y prevenir la ocurrencia de futuros incidentes.

Si deseas más información, te recomiendo revisar el Reglamento Interno de Orden, Higiene y Seguridad. ¿Te queda alguna duda?",2025-01-03 15:16:46
que articulo aborda este tema?,"El reglamento interno aborda diversos temas en varios artículos. Para poder proporcionarte la información más precisa, necesitaría que me indiques específicamente sobre qué tema te gustaría consultar. 

Te recomiendo revisar el reglamento RIOHS para obtener detalles completos. ¿Te gustaría que te ayude con algo más?",2025-01-03 15:17:07
Hola,"¡Hola! ¿En qué puedo ayudarte hoy? Si tienes alguna pregunta sobre el reglamento interno, estaré encantado de responderte. Te recomiendo revisar el reglamento RIOHS para obtener información detallada. ¿Te queda alguna duda?",2025-01-03 15:21:24
tienes un resumen del reglamento?,"El Reglamento Interno de Orden, Higiene y Seguridad (RIOHS) tiene como objetivo dar a conocer las disposiciones generales, obligaciones, prohibiciones y sanciones en materia de Higiene y Seguridad para los trabajadores. Este reglamento incluye el Protocolo de Prevención de Acoso Laboral, Sexual y Violencia en el Trabajo, así como el Procedimiento de denuncia, investigación y sanción de dichas conductas.

Los trabajadores deben conocer y aceptar las obligaciones y prohibiciones impuestas, que incluyen abstenerse de realizar actividades que impliquen delitos según la Ley N°20.393 y Ley N°21.595, y denunciar cualquier conducta inapropiada.

Además, se establece que las empresas deben mantener al día los reglamentos internos de higiene y seguridad, y los trabajadores deben cumplir con las exigencias de dichos reglamentos. Se contemplan sanciones por incumplimientos, especialmente en el uso de equipos de protección personal.

Te recomiendo revisar el reglamento RIOHS para obtener información más detallada. ¿Te queda alguna duda?",2025-01-03 15:21:42
"Hola, necesito que me des un resumen del reglamento interno por favor","Hola, gracias por tu saludo. El Reglamento Interno de Orden, Higiene y Seguridad tiene como objetivo dar a conocer las disposiciones generales, obligaciones, prohibiciones y sanciones en materia de Higiene y Seguridad para los trabajadores. Este reglamento se basa en la Ley N°16.744 y el DS Nº40, y establece que las empresas deben mantener al día sus reglamentos internos y que los trabajadores deben cumplir con las exigencias que estos imponen.

El reglamento incluye normas sobre condiciones de ingreso del personal, contrato de trabajo, jornada de trabajo, descansos, y establece la obligación de los trabajadores de ser respetuosos con sus compañeros y superiores, desempeñar su labor con diligencia y cumplir con las disposiciones y políticas de la empresa.

Te recomiendo revisar el reglamento RIOHS para obtener información más detallada. ¿Te queda alguna duda?",2025-01-03 15:22:50
que dice el articulo 86?,"¡Hola! El Artículo 86º establece lo siguiente:

""La Empresa podrá instalar en sus dependencias un circuito cerrado de televisión y cámaras de seguridad con el objeto de prevenir y evitar la comisión de ilícitos al interior de ella, así como garantizar la propiedad, seguridad y salubridad del personal y la Empresa. Este sistema le permitirá al empleador la vigilancia de la Empresa en su conjunto, o bien, de determinadas unidades o secciones de ella. Por ello, se garantiza a los trabajadores que este sistema de vigilancia no afectará el legítimo ejercicio de sus derechos fundamentales a la intimidad, vida privada y honra.

Las cámaras de seguridad u otros mecanismos de control audiovisual no se dirigirán directamente al ejercicio de las labores de un trabajador en particular, sino que, en lo posible, se orientarán en planos panorámico. Su emplazamiento no abarcará lugares dedicados al esparcimiento de los trabajadores, tales como comedores y salas de descanso, así como tampoco a aquellos en los que no se realiza actividad laboral, como los baños, casilleros, salas de vestuarios, etc.

Respecto de las grabaciones que se obtengan, se garantiza la debida custodia y almacenamiento de éstas; como también el pleno acceso a ellas de los trabajadores que pudieren aparecer en las mismas, previa autorización de la Gerencia de la Empresa, en tanto no se hubieren eliminado conforme a las políticas de almacenamiento de las grabaciones.

En todo caso, se garantiza la reserva de toda la información y datos privados de algún trabajador que se pueda haber obtenido mediante estos mecanismos de control audiovisual, excluyéndose de su conocimiento a toda persona distinta al Empleador o sus asesores y al trabajador, salvo naturalmente que la grabación sea requerida por organismos con competencia para ello, que éstas den cuenta de incumplimientos a los contratos de trabajo o normas de este Reglamento, o bien, que den cuenta de lícitos, en cuyo caso se podrán poner a disposición de los Tribunales respectivos a fin de acreditar los hechos constatados.""

Si tienes alguna duda, no dudes en preguntar. Te recomiendo revisar el reglamento RIOHS para más información.",2025-01-03 15:23:37
Hola buenas tardes,"¡Hola! Buenas tardes. ¿En qué puedo ayudarte hoy? Recuerda que puedes consultar el reglamento interno de orden, higiene y seguridad (RIOHS) para obtener información detallada. ¿Tienes alguna duda específica?",2025-01-03 15:23:59
Cuantos articulos hay en el reglamento,No tengo información sobre la cantidad de artículos que hay en el reglamento. Te recomiendo revisar el reglamento RIOHS para obtener esa información. ¿Te queda alguna duda?,2025-01-03 15:24:22
Cuantos articulos hay en el reglamento?,No tengo información sobre la cantidad de artículos que hay en el reglamento. Te recomiendo revisar el reglamento RIOHS para obtener esa información. ¿Te queda alguna duda?,2025-01-03 15:24:35
cuantas paginas contiene el reglamento RIOHS?,"Lo siento, no sé cuántas páginas contiene el reglamento RIOHS. Te recomiendo revisar el reglamento para obtener esa información. ¿Te queda alguna duda?",2025-01-03 15:25:02
que contiene el reglamento acerca de las denuncias laborales?,"El reglamento interno establece que el procedimiento de denuncia está diseñado para asegurar que todas las denuncias sean manejadas con seriedad, confidencialidad y profesionalismo. Se reconoce la importancia crítica de abordar eficazmente cualquier forma de acoso laboral, acoso sexual o violencia en el trabajo, siendo esencial que todos quienes laboren en la empresa se sientan apoyados y seguros al reportar estas conductas inapropiadas.

Además, se menciona que la respuesta de la empresa deberá entregarse personalmente al reclamante, mediante correo electrónico a su cuenta corporativa o personal, o bien, por carta certificada enviada al domicilio indicado en su contrato de trabajo. Si el trabajador no está de acuerdo con la respuesta del empleador, podrá efectuar una denuncia formal ante la Inspección del Trabajo o el Juzgado del Trabajo correspondiente.

Es importante también que se mantenga la confidencialidad de toda información relacionada con las medidas y decisiones tomadas bajo este procedimiento, así como durante cualquier investigación que se derive.

Te recomiendo revisar el reglamento RIOHS para obtener información más detallada. ¿Queda alguna duda?",2025-01-03 15:25:40
En que articulo se menciona sobre este asunto?,"El artículo que menciona las disposiciones generales, obligaciones, prohibiciones y sanciones en materia de Higiene y Seguridad es el Artículo 67 de la Ley N° 16.744, que establece que las empresas están obligadas a mantener al día los reglamentos internos de higiene y seguridad en el trabajo. 

Te recomiendo revisar el reglamento RIOHS para obtener información más detallada. ¿Te queda alguna duda?",2025-01-03 15:26:08
